31001_3061	Jugendfreizeitheim	2350
31001_3062	Freizeit-, Vereinsheim, Dorfgemeinschafts-, Bürgerhaus	2340
31001_3063	Seniorenfreizeitstätte	2360
31001_3064	Obdachlosenheim	2370
31001_3065	Kinderkrippe, Kindergarten, Kindertagesstätte	2380
31001_3066	Asylbewerberheim	2390
31001_3070	Gebäude für Sicherheit und Ordnung	2400
31001_3071	Polizei	2400
31001_3072	Feuerwehr	2410
31001_3073	Kaserne	2420
31001_3074	Schutzbunker	2430
31001_3075	Justizvollzugsanstalt	2440
31001_3080	Friedhofsgebäude	2450
31001_3081	Trauerhalle	2460
31001_3082	Krematorium	2470
31001_3090	Empfangsgebäude	1490
31001_3091	Bahnhofsgebäude	2480
31001_3092	Flughafengebäude	2490
31001_3094	Gebäude zum U-Bahnhof	2500
31001_3095	Gebäude zum S-Bahnhof	2510
31001_3097	Gebäude zum Busbahnhof	2520
31001_3098	Empfangsgebäude Schifffahrt	2530
31001_3100	Gebäude für öffentliche Zwecke mit Wohnen	2340
31001_3200	Gebäude für Erholungszwecke	2540
31001_3210	Gebäude für Sportzwecke	2550
31001_3211	Sport-, Turnhalle	2560
31001_3212	Gebäude zum Sportplatz	2570
31001_3220	Badegebäude	2580
31001_3221	Hallenbad	2590
31001_3222	Gebäude im Freibad	2580
31001_3230	Gebäude im Stadion	2570
31001_3240	Gebäude für Kurbetrieb	2540
31001_3241	Badegebäude für medizinische Zwecke	2580
31001_3242	Sanatorium	2600
31001_3260	Gebäude im Zoo	2610
31001_3261	Empfangsgebäude des Zoos	2610
31001_3262	Aquarium, Terrarium, Voliere	2610
31001_3263	Tierschauhaus	2610
31001_3264	Stall im Zoo	2610
31001_3270	Gebäude im botanischen Garten	2630
31001_3271	Empfangsgebäude des botanischen Gartens	2630
31001_3272	Gewächshaus (Botanik)	2630
31001_3273	Pflanzenschauhaus	2620
31001_3280	Gebäude für andere Erholungseinrichtung	2540
31001_3281	Schutzhütte	2640
31001_3290	Touristisches Informationszentrum	2650
31001_9998	Nach Quellenlage nicht zu spezifizieren	2700
51001_1001	Wasserturm	1690
51001_1002	Kirchturm	2220
51001_1003	Aussichtsturm	2700
51001_1004	Kontrollturm	2700
51001_1005	Kühlturm	1360
51001_1006	Leuchtturm	2700
51001_1007	Feuerwachturm	2410
51001_1008	Sende-,Funkturm	2170
51001_1009	Stadt-,Torturm	2700
51001_1010	Förderturm	2700
51001_1011	Bohrturm	2700
51001_1012	Schloss-, Burgturm	2200
51001_9998	Nach Quellenlage nicht zu spezifizieren	2700
51001_9999	Sonstiges	2700
51002_1215	Biogasanlage	2700
51002_1220	Windrad	2700
51002_1230	Solarzellen	2700
51002_1250	Mast	2700
51002_1260	Funkmast	1760
51002_1280	Radioteleskop	2700
51002_1290	Schornstein	2700
51002_1330	Kran	2700
51002_1331	Drehkran	2700
51002_1332	Portalkran	2700
51002_1333	Laufkran	2700
51002_1350	Hochofen	2700
51002_1400	Umformer	1720
51002_9999	Sonstiges	2700
51003_1201	Silo	2700
51003_1205	Tank	2700
51003_1206	Gasometer	1770
51003_9999	Sonstiges	2700
51006_1430	Zuschauertribüne	2570
51006_1431	Zuschauertribüne, überdacht	2570
51006_1432	Zuschauertribüne, nicht überdacht	2570
51006_1440	Stadion	2570
51006_1470	Sprungschanze (Anlauf)	2550
51006_1490	Gradierwerk	1400
51006_9999	Sonstiges	2700
51007_1210	Wachturm	2700
51007_1400	Befestigung (Burgruine)	2200
51007_1500	Historische Mauer	2700
51007_1510	Stadtmauer	2700
51007_1520	Sonstige historische Mauer	2700
51007_9999	Sonstiges	2700
51009_1610	Überdachung	2700
51009_1611	Carport	1630
51009_1750	Denkmal	2700
51009_9999	Sonstiges	2700
11_1001	Gebäude (allgemein)	2700
11_1002	Reservierte Hausnummer	2700
11_1003	Wohn- oder öffentliches Gebäude (allgemein)	1030
11_1004	Wirtschafts- oder Industriegebäude (allgemein)	1150
11_1005	Unterirdisches Gebäude (soweit nicht OS 2363)	2700
11_1006	Kleines untergeordnetes Gebäude	2700
11_1036	vorhandenes, nichteingemessenes Gebäude	2700
11_1101	Öffentliches Gebäude (allg.)	1960
11_1111	Parlament	1980
11_1112	Rathaus	1990
11_1113	Postamt	2000
11_1114	Zollamt	2010
11_1115	Gericht	2020
11_1116	Botschaft, Konsulat	2030
11_1118	Öffentliche Verwaltung (allgemein)	1970
11_1121	Allgemeinbildende Schule	2080
11_1122	Berufsschule,Fachschule, Volkshochschule	2090
11_1123	Fachhochschule, Universität	2100
11_1124	Forschungsinstitut	2110
11_1128	Bildungs-, Forschungseinrichtung (allgemein)	2070
11_1131	Schloss, Burg	2130
11_1132	Theater, Oper	2140
11_1133	Konzertgebäude	2150
11_1134	Museum	2160
11_1135	Rundfunkanstalt, Fernsehanstalt	2170
11_1136	Veranstaltungsgebäude	2180
11_1137	Bibliothek, Bücherei	2190
11_1138	Kulturelle Einrichtung (allgemein)	2120
11_1141	Christliche Kirche	2220
11_1142	Synagoge	2230
11_1143	Kapelle	2240
11_1144	Gemeindehaus, Küsterei	2250
11_1145	Gotteshaus einer anderen Religionsgemeinschaft	2260
11_1148	Kirchliche Einrichtung (allgemein)	2220
11_1151	Krankenhaus	2310
11_1152	Heilanstalt, Pflegeanstalt	2320
11_1158	Gesundheitseinrichtung (allgemein)	2330
11_1161	Jugendfreizeitheim	2350
11_1162	Freizeitheim, Dorfgemeinschaftshaus, Bürgerhaus	2340
11_1163	Seniorenfreizeitstätte	2360
11_1164	Fremdenheim	2340
11_1165	Kindergarten, Kindertagesstätte	2380
11_1168	Sozialeinrichtung (allgemein)	2340
11_1171	Polizei	2400
11_1172	Feuerwehr	2410
11_1173	Kaserne	2420
11_1174	Schutzbunker	2430
11_1175	Justizvollzugsanstalt	2440
11_1178	Sicherheitseinrichtung (allgemein)	2400
11_1181	Trauerhalle	2460
11_1182	Krematorium	2470
11_1188	Friedhofsgebäude (allgemein)	2450
11_1191	Bahnhofsgebäude	2480
11_1192	Flughafengebäude	2490
11_1194	U-Bahnhof	2500
11_1195	S-Bahnhof	2510
11_1196	Kontrollturm	2700
11_1197	Omnibusbahnhof	2520
11_1198	Empfangsgebäude für Verkehrsteilnehmer (allgemein)	1490
11_1211	Wohnhaus in Reihe	1010
11_1221	Freistehender Wohnblock	1010
11_1231	Wohnblock in geschlossener Bauweise	1010
11_1301	Wohnhaus (allgemein)	1010
11_1311	Einzelhaus	1010
11_1321	Doppelhaus	1010
11_1331	Reihenhaus	1010
11_1341	Gruppenhaus	1010
11_1361	Hochhaus	1010
11_1371	Kinderheim	2350
